net,length_um
_10008_,206.19
decoded_imm\[30\],206.135
_08263_,206.04
_11795_,205.84
decoded_imm\[20\],205.72
decoded_imm\[22\],205.635
_13713_,205.59
net167,205.48
_01755_,205.42
_10097_,205.4
_09832_,205.35
net177,205.24
_08137_,205.14
_08258_,204.98
_12977_,204.81
_05050_,204.64
genblk1.pcpi_mul.rs2\[21\],204.52
_05182_,204.34
_04977_,204.1
_11282_,203.96
_13126_,203.82
net283,203.52
_13872_,203.48
net182,203.38
net35,203.22
net86,202.86
_11405_,202.78
_05797_,202.64
_08814_,202.56
_13942_,202.56
_04511_,202.2
_06584_,202.13
net210,202.12
clknet_5_21__leaf_clk,202.07
_14435_,202.02
_11785_,201.84
_08585_,201.8
_08616_,201.52
_11174_,201.24
_08074_,201.2
_13679_,200.915
net130,200.88
_05298_,200.85
_13716_,200.8
_08127_,200.68
_08280_,200.56
net200,200.46
_08519_,199.84
_04757_,199.82
decoded_imm\[29\],199.79
_05023_,199.74
net44,199.55
_10855_,199.38
net180,199.28
_10625_,199.22
clknet_5_8__leaf_clk,199.18
alu_out_q\[3\],199.14
_08088_,199.06
_14081_,199.05
_11041_,198.83
_14037_,198.48
_11195_,198.42
_11276_,198.4
_09202_,198.36
mem_rdata_q\[23\],198.2
net157,198.12
_11242_,197.96
_11924_,197.9
_05040_,197.86
_10787_,197.62
net312,197.42
_01754_,197.4
_07795_,197.14
net216,196.94
_08948_,196.9
_09110_,196.9
_05308_,196.78
_11445_,196.635
net295,196.59
_06503_,196.51
_08472_,196.51
_05682_,196.42
_13287_,196.29
_05217_,196.28
net234,196.2
_10636_,196.1
_11386_,196.095
_06542_,196.06
_10098_,196.05
_10053_,195.83
_05173_,195.78
_08149_,195.64
_08973_,195.4
_14077_,195.38
net316,195.34
_08250_,194.56
_11170_,194.56
_11821_,194.44
_06017_,194.38
_10805_,194.38
_10721_,194.36
_05263_,194.3
_05725_,194.2
_08736_,194.1
_11481_,194.1
_08969_,194
clknet_5_31__leaf_clk,193.96
_11033_,193.92
_09123_,193.81
